state,count
AB,333
AK,354
AL,691
AR,666
AZ,2689
BC,788
CA,9655
CO,1505
CT,968
DC,99
DE,183
FL,4200
GA,1347
HI,353
IA,707
ID,554
IL,2645
IN,1386
KS,653
KY,914
LA,598
MA,1358
MB,155
MD,911
ME,633
MI,2071
MN,1081
MO,1576
MS,415
MT,510
NB,116
NC,1869
ND,138
NE,405
NF,25
NH,535
NJ,1512
NM,815
NS,143
NT,20
NV,905
NY,3219
OH,2425
OK,766
ON,1584
OR,1845
PA,2582
PE,17
PQ,90
PR,33
QC,178
RI,290
SA,30
SC,1076
SD,196
SK,98
TN,1193
TX,3677
UT,743
VA,1393
VT,307
WA,4268
WI,1333
WV,486
WY,205
YK,7
YT,13
NA,5797
